sessionId,participantId,roundIndexInSession,studyLabel,testMode,shotIndexInRound,shotIndexInSession,timeSinceRoundStartSec,timeSinceLastShotSec,isHit,shotScore,totalScore,missDistX,absMissDistX,missDistEuclid,towerX,towerY,towerZ,hitX,hitY,hitZ,ufoX,ufoY,ufoZ,side,stimulusMs,jndEstimateMs,posteriorThresholdSD,slopeEstimate,staircaseTrial,staircaseFinished,spikesSinceLastShot,cfg_label,cfg_testMode,cfg_useStaircase,cfg_useManualLevelList,cfg_roundsPerSession,cfg_roundDurationSec,cfg_closeRadius,cfg_showHitZone,cfg_crossingDeadZone,cfg_fireCooldown,cfg_revealHoldSec,cfg_maxPoints,cfg_missPoints,cfg_ftFallbackMagnitudeMs,cfg_ftUseBusyWait,cfg_stimMinMs,cfg_stimMaxMs,cfg_stimCount,cfg_threshMinMs,cfg_threshMaxMs,cfg_threshCount,cfg_slopeMin,cfg_slopeMax,cfg_slopeCount,cfg_lapseMin,cfg_lapseMax,cfg_lapseCount,cfg_guessRate,cfg_maxTrials,cfg_minTrials,cfg_stopSD,cfg_startDropFps,cfg_minDropFps,cfg_maxDropFps,cfg_baselineFps,cfg_startMs,cfg_minMs,cfg_maxMs,cfg_startMult,cfg_minMult,cfg_maxMult,cfg_coarseFactor,cfg_fineStep,cfg_reversals,cfg_revAvg,cfg_manualStartIndex,cfg_manualLevels
15,P015,1,ft_jnd,FrameTimeStutter,1,1,0.4839,0.4839,0,-10.00,-10.00,1.0092,1.0092,1.0092,7.1113,-6.7500,0.0000,8.1204,-6.3261,0.0000,8.1204,9.4712,0.0000,Right,143.205,170.063,51.954,3.646,1,0,1,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
15,P015,1,ft_jnd,FrameTimeStutter,2,2,3.0629,2.5790,0,-10.00,-20.00,2.3230,2.3230,2.3230,-15.3805,-6.7500,0.0000,-13.0575,-4.8424,0.0000,-13.0575,10.9549,0.0000,Right,174.615,196.070,38.551,3.808,2,0,2,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
15,P015,1,ft_jnd,FrameTimeStutter,3,3,8.0471,4.9842,1,100.00,80.00,0.4649,0.4649,0.4649,15.5870,-6.7500,0.0000,16.0519,-4.7617,0.0000,16.0519,11.0356,0.0000,Right,174.615,181.308,40.108,3.646,3,0,4,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
15,P015,1,ft_jnd,FrameTimeStutter,4,4,10.8510,2.8039,0,-10.00,70.00,-3.0312,3.0312,3.0312,0.3872,-6.7500,0.0000,-2.6440,-3.8984,0.0000,-2.6440,11.8988,0.0000,Left,193.462,200.912,32.747,3.697,4,0,3,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
15,P015,1,ft_jnd,FrameTimeStutter,5,5,13.6011,2.7501,0,-10.00,60.00,6.1143,6.1143,6.1143,7.5095,-6.7500,0.0000,13.6238,-4.5729,0.0000,13.6238,11.2244,0.0000,Right,155.769,213.799,26.971,3.777,5,0,1,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
15,P015,1,ft_jnd,FrameTimeStutter,6,6,19.3902,5.7891,1,100.00,160.00,-0.5180,0.5180,0.5180,-6.0650,-6.7500,0.0000,-6.5830,-3.9796,0.0000,-6.5830,11.8177,0.0000,Left,130.641,204.852,30.390,3.304,6,0,5,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
