sessionId,blockIndex,unityApplicationFps,testMode,closeRadius,weapon,phase,phaseStartIso,roundNumber,attemptInRound,roundEnded,timeSinceStartSec,timeSinceLastShotSec,stimulusMs,spikesSinceLastShot,spikeIndexInRound,stuttersMs,stutterMeanMs,stutterSdMs,stutterMinMs,stutterMaxMs,isHit,totalScore,outcome,playerFired,countedByStaircase,trialStartSec,spikeAtSec,firedAtSec,reactionSec,spikeDelaySec,windowSec,hitX,missDistX,towerX,ufoY,side,threshEstimateMs,sd,slopeEstimate,lapseEstimate,cfg_weapon,cfg_unityApplicationFps,cfg_practiceStuttersMs,cfg_swSpikeDelayMinSec,cfg_swSpikeDelayMaxSec,cfg_swWindowSec,cfg_swRespikeMinSec,cfg_swRespikeMaxSec,cfg_swMaxEarlyPerRound,cfg_maxSpikesPerRound,cfg_roundTimeoutSec,cfg_hitPoints,cfg_missPoints,cfg_stimMinMs,cfg_stimMaxMs,cfg_stimCount,cfg_threshMinMs,cfg_threshMaxMs,cfg_threshCount,cfg_slopeMin,cfg_slopeMax,cfg_slopeCount,cfg_lapseMin,cfg_lapseMax,cfg_lapseCount,cfg_guessRate,cfg_maxTrials,cfg_minTrials,cfg_stopSD
56,1,60,FrameTimeStutter,5.000,shockwave,practice,2026-09-16T14:18:06.7270312-04:00,1,1,1,2.3872,2.3872,450.000,1,1,450.01,450.014,0.000,450.014,450.014,1,100.00,detected,1,0,0.0166,2.3345,2.3924,0.0579,1.8537,0.5000,0.9289,6.4880,-5.5591,7.6680,Right,127.500,71.914,4.500,0.0300,shockwave,60,450;300;200;100;50,1.5,3,0.5,1,2,1,10,0,100,-10,5,250,40,5,250,60,1,8,11,0,0.06,4,0.556,50,8,5
56,1,60,FrameTimeStutter,5.000,shockwave,practice,2026-09-16T14:18:06.7270312-04:00,2,1,0,5.3083,2.9211,300.000,0,0,,0.000,0.000,0.000,0.000,0,90.00,early,1,0,5.0919,,5.3088,,,0.5000,4.1561,-9.1815,13.3376,7.8550,Left,127.500,71.914,4.500,0.0300,shockwave,60,450;300;200;100;50,1.5,3,0.5,1,2,1,10,0,100,-10,5,250,40,5,250,60,1,8,11,0,0.06,4,0.556,50,8,5
56,1,60,FrameTimeStutter,5.000,shockwave,practice,2026-09-16T14:18:06.7270312-04:00,2,2,0,8.2945,2.9863,300.000,1,1,300.00,300.000,0.000,300.000,300.000,0,80.00,late,1,0,5.0919,7.7746,8.2950,0.5204,2.1551,0.5000,4.1561,-9.1815,13.3376,7.8550,Left,127.500,71.914,4.500,0.0300,shockwave,60,450;300;200;100;50,1.5,3,0.5,1,2,1,10,0,100,-10,5,250,40,5,250,60,1,8,11,0,0.06,4,0.556,50,8,5
56,1,60,FrameTimeStutter,5.000,shockwave,practice,2026-09-16T14:18:06.7270312-04:00,2,3,0,9.6945,1.4000,300.000,0,1,,0.000,0.000,0.000,0.000,0,70.00,early,1,0,5.0919,7.7746,9.6950,1.9204,2.1551,0.5000,4.1561,-9.1815,13.3376,7.8550,Left,127.500,71.914,4.500,0.0300,shockwave,60,450;300;200;100;50,1.5,3,0.5,1,2,1,10,0,100,-10,5,250,40,5,250,60,1,8,11,0,0.06,4,0.556,50,8,5
56,1,60,FrameTimeStutter,5.000,shockwave,practice,2026-09-16T14:18:06.7270312-04:00,2,4,1,12.4317,2.7372,300.000,1,2,300.00,300.000,0.000,300.000,300.000,1,170.00,detected,1,0,5.0919,12.1785,12.4322,0.2537,2.1770,0.5000,-4.0531,-17.3907,13.3376,9.5004,Left,127.500,71.914,4.500,0.0300,shockwave,60,450;300;200;100;50,1.5,3,0.5,1,2,1,10,0,100,-10,5,250,40,5,250,60,1,8,11,0,0.06,4,0.556,50,8,5
56,1,60,FrameTimeStutter,5.000,shockwave,practice,2026-09-16T14:18:06.7270312-04:00,3,1,1,18.4053,5.9736,200.000,1,1,200.00,200.000,0.000,200.000,200.000,1,270.00,detected,1,0,15.1518,18.0860,18.4058,0.3198,2.7277,0.5000,10.2609,21.8284,-11.5675,9.4275,Right,127.500,71.914,4.500,0.0300,shockwave,60,450;300;200;100;50,1.5,3,0.5,1,2,1,10,0,100,-10,5,250,40,5,250,60,1,8,11,0,0.06,4,0.556,50,8,5
56,1,60,FrameTimeStutter,5.000,shockwave,practice,2026-09-16T14:18:06.7270312-04:00,4,1,1,23.7754,5.3701,100.000,1,1,100.00,100.000,0.000,100.000,100.000,1,370.00,detected,1,0,21.1387,23.4387,23.7760,0.3373,2.1837,0.5000,-1.0740,-18.5220,17.4479,9.0614,Left,127.500,71.914,4.500,0.0300,shockwave,60,450;300;200;100;50,1.5,3,0.5,1,2,1,10,0,100,-10,5,250,40,5,250,60,1,8,11,0,0.06,4,0.556,50,8,5
56,1,60,FrameTimeStutter,5.000,shockwave,practice,2026-09-16T14:18:06.7270312-04:00,5,1,1,29.4497,5.6743,50.000,1,1,50.00,50.000,0.000,50.000,50.000,1,470.00,detected,1,0,26.4922,29.0800,29.4502,0.3702,2.5312,0.5000,4.1929,-14.1845,18.3774,8.8237,Left,127.500,71.914,4.500,0.0300,shockwave,60,450;300;200;100;50,1.5,3,0.5,1,2,1,10,0,100,-10,5,250,40,5,250,60,1,8,11,0,0.06,4,0.556,50,8,5
