sessionId,participantId,roundIndexInSession,studyLabel,testMode,frameIndex,timeSinceRoundStartSec,unscaledDeltaMs,mouseX,mouseY,mouseDeltaX,mouseDeltaY,virtualX,virtualY,ufoX,ufoY,ufoZ,towerX,towerZ,signedDistToTowerX,side,leftButtonDown,leftButtonPressed,rightButtonDown,fireKeyDown,stimulusMs,spikeFired,stallMs,cfg_label,cfg_testMode,cfg_useStaircase,cfg_useManualLevelList,cfg_roundsPerSession,cfg_roundDurationSec,cfg_closeRadius,cfg_showHitZone,cfg_crossingDeadZone,cfg_fireCooldown,cfg_revealHoldSec,cfg_maxPoints,cfg_missPoints,cfg_ftFallbackMagnitudeMs,cfg_ftUseBusyWait,cfg_stimMinMs,cfg_stimMaxMs,cfg_stimCount,cfg_threshMinMs,cfg_threshMaxMs,cfg_threshCount,cfg_slopeMin,cfg_slopeMax,cfg_slopeCount,cfg_lapseMin,cfg_lapseMax,cfg_lapseCount,cfg_guessRate,cfg_maxTrials,cfg_minTrials,cfg_stopSD,cfg_startDropFps,cfg_minDropFps,cfg_maxDropFps,cfg_baselineFps,cfg_startMs,cfg_minMs,cfg_maxMs,cfg_startMult,cfg_minMult,cfg_maxMult,cfg_coarseFactor,cfg_fineStep,cfg_reversals,cfg_revAvg,cfg_manualStartIndex,cfg_manualLevels
3,P003,1,ft_jnd,FrameTimeStutter,0,0.00000,3.7983,1314.92,913.93,0.000,0.000,1314.92,913.93,0.6386,7.7877,0.0000,-4.9985,0.0000,5.6371,Right,0,0,0,0,86.667,0,0.000,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
3,P003,1,ft_jnd,FrameTimeStutter,1,0.00428,4.2826,1314.92,913.93,0.000,0.000,1314.92,913.93,0.6386,7.7877,0.0000,-4.9985,0.0000,5.6371,Right,0,0,0,0,86.667,0,0.000,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
3,P003,1,ft_jnd,FrameTimeStutter,2,0.00753,3.2498,1314.92,913.93,0.000,0.000,1314.92,913.93,0.6386,7.7877,0.0000,-4.9985,0.0000,5.6371,Right,0,0,0,0,86.667,0,0.000,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
3,P003,1,ft_jnd,FrameTimeStutter,3,0.01046,2.9289,1314.92,913.93,0.000,0.000,1314.92,913.93,0.6386,7.7877,0.0000,-4.9985,0.0000,5.6371,Right,0,0,0,0,86.667,0,0.000,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
3,P003,1,ft_jnd,FrameTimeStutter,4,0.01422,3.7586,1314.92,913.93,0.000,0.000,1314.92,913.93,0.6386,7.7877,0.0000,-4.9985,0.0000,5.6371,Right,0,0,0,0,86.667,0,0.000,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
3,P003,1,ft_jnd,FrameTimeStutter,5,0.01709,2.8707,1314.92,913.93,0.000,0.000,1314.92,913.93,0.6386,7.7877,0.0000,-4.9985,0.0000,5.6371,Right,0,0,0,0,86.667,0,0.000,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
3,P003,1,ft_jnd,FrameTimeStutter,6,0.02073,3.6424,1314.92,913.93,0.000,0.000,1314.92,913.93,0.6386,7.7877,0.0000,-4.9985,0.0000,5.6371,Right,0,0,0,0,86.667,0,0.000,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
3,P003,1,ft_jnd,FrameTimeStutter,7,0.02502,4.2903,1314.92,913.93,0.000,0.000,1314.92,913.93,0.6386,7.7877,0.0000,-4.9985,0.0000,5.6371,Right,0,0,0,0,86.667,0,0.000,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
3,P003,1,ft_jnd,FrameTimeStutter,8,0.02815,3.1235,1314.92,913.93,0.000,0.000,1314.92,913.93,0.6386,7.7877,0.0000,-4.9985,0.0000,5.6371,Right,0,0,0,0,86.667,0,0.000,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
3,P003,1,ft_jnd,FrameTimeStutter,9,0.03321,5.0625,1314.92,913.93,0.000,0.000,1314.92,913.93,0.6386,7.7877,0.0000,-4.9985,0.0000,5.6371,Right,0,0,0,0,86.667,0,0.000,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
