sessionId,blockIndex,unityApplicationFps,testMode,closeRadius,weapon,phase,phaseStartIso,roundNumber,attemptInRound,roundEnded,timeSinceStartSec,timeSinceLastShotSec,stimulusMs,spikesSinceLastShot,spikeIndexInRound,stuttersMs,stutterMeanMs,stutterSdMs,stutterMinMs,stutterMaxMs,isHit,totalScore,outcome,playerFired,countedByStaircase,trialStartSec,spikeAtSec,firedAtSec,reactionSec,spikeDelaySec,windowSec,hitX,missDistX,towerX,ufoY,side,threshEstimateMs,sd,slopeEstimate,lapseEstimate,cfg_weapon,cfg_unityApplicationFps,cfg_practiceStuttersMs,cfg_swSpikeDelayMinSec,cfg_swSpikeDelayMaxSec,cfg_swWindowSec,cfg_swRespikeMinSec,cfg_swRespikeMaxSec,cfg_swMaxEarlyPerRound,cfg_maxSpikesPerRound,cfg_roundTimeoutSec,cfg_hitPoints,cfg_missPoints,cfg_stimMinMs,cfg_stimMaxMs,cfg_stimCount,cfg_threshMinMs,cfg_threshMaxMs,cfg_threshCount,cfg_slopeMin,cfg_slopeMax,cfg_slopeCount,cfg_lapseMin,cfg_lapseMax,cfg_lapseCount,cfg_guessRate,cfg_maxTrials,cfg_minTrials,cfg_stopSD
48,1,60,FrameTimeStutter,5.000,shockwave,practice,2026-09-14T12:04:33.8626794-04:00,1,1,0,3.8874,3.8874,450.000,1,1,450.02,450.016,0.000,450.016,450.016,0,-10.00,late,1,0,0.0156,3.1512,3.8923,0.7412,2.6832,0.5000,-18.1353,0.2383,-18.3736,8.1237,Left,127.500,71.914,4.500,0.0300,shockwave,60,450;300;200;100;50,1.5,3,0.5,1,2,1,10,0,100,-10,5,250,40,5,250,60,1,8,11,0,0.06,4,0.556,50,8,5
48,1,60,FrameTimeStutter,5.000,shockwave,practice,2026-09-14T12:04:33.8626794-04:00,1,2,1,6.3576,2.4702,450.000,1,2,450.00,450.000,0.000,450.000,450.000,1,90.00,detected,1,0,0.0156,5.9547,6.3580,0.4033,1.6086,0.5000,-14.3175,4.0562,-18.3736,9.6482,Right,127.500,71.914,4.500,0.0300,shockwave,60,450;300;200;100;50,1.5,3,0.5,1,2,1,10,0,100,-10,5,250,40,5,250,60,1,8,11,0,0.06,4,0.556,50,8,5
48,1,60,FrameTimeStutter,5.000,shockwave,practice,2026-09-14T12:04:33.8626794-04:00,2,1,1,27.4091,21.0516,300.000,8,8,300.00;300.00;300.00;300.00;300.00;300.00;300.00;300.00,300.000,0.000,300.000,300.000,1,190.00,detected,1,0,9.7958,27.2070,27.4096,0.2026,1.4415,0.5000,-8.7766,7.5349,-16.3115,9.6292,Right,127.500,71.914,4.500,0.0300,shockwave,60,450;300;200;100;50,1.5,3,0.5,1,2,1,10,0,100,-10,5,250,40,5,250,60,1,8,11,0,0.06,4,0.556,50,8,5
48,1,60,FrameTimeStutter,5.000,shockwave,practice,2026-09-14T12:04:33.8626794-04:00,3,1,1,33.2391,5.8300,200.000,1,1,200.00,200.000,0.000,200.000,200.000,1,290.00,detected,1,0,30.8367,32.7869,33.2396,0.4527,1.7366,0.5000,17.9631,26.5552,-8.5921,8.9524,Right,127.500,71.914,4.500,0.0300,shockwave,60,450;300;200;100;50,1.5,3,0.5,1,2,1,10,0,100,-10,5,250,40,5,250,60,1,8,11,0,0.06,4,0.556,50,8,5
48,1,60,FrameTimeStutter,5.000,shockwave,practice,2026-09-14T12:04:33.8626794-04:00,4,1,1,39.6641,6.4249,100.000,1,1,100.00,100.000,0.000,100.000,100.000,1,390.00,detected,1,0,36.6729,39.3273,39.6645,0.3372,2.5531,0.5000,-7.1051,-0.3493,-6.7558,7.8060,Left,127.500,71.914,4.500,0.0300,shockwave,60,450;300;200;100;50,1.5,3,0.5,1,2,1,10,0,100,-10,5,250,40,5,250,60,1,8,11,0,0.06,4,0.556,50,8,5
