sessionId,participantId,phase,trialIndex,frameIndex,timeSinceStartSec,unscaledDeltaMs,mouseX,mouseY,mouseDeltaX,mouseDeltaY,ufoX,ufoY,towerX,side,leftButtonDown,leftButtonPressed,fireKeyDown,stimulusMs,spikeFired,stallMs,threshEstimateMs,posteriorSD,slopeEstimate,accuracy,score,cfg_practiceStuttersMs,cfg_hitPoints,cfg_missPoints,cfg_stimMinMs,cfg_stimMaxMs,cfg_stimCount,cfg_threshMinMs,cfg_threshMaxMs,cfg_threshCount,cfg_slopeMin,cfg_slopeMax,cfg_slopeCount,cfg_lapseMin,cfg_lapseMax,cfg_lapseCount,cfg_guessRate,cfg_maxTrials,cfg_minTrials,cfg_stopSD
25,P025,practice,0,0,0.00000,2.9078,1527.59,1114.15,0.000,0.000,4.5272,8.2069,17.2513,Left,0,0,0,450.000,0,0.000,127.500,72.154,3.500,0.0000,0.00,450;300;200;100;50,100,-10,5,250,40,5,250,50,1,6,11,0,0.06,4,0.0445,50,8,5
25,P025,practice,0,1,0.00350,3.4988,1527.59,1114.15,0.000,0.000,4.5272,8.2069,17.2513,Left,0,0,0,450.000,0,0.000,127.500,72.154,3.500,0.0000,0.00,450;300;200;100;50,100,-10,5,250,40,5,250,50,1,6,11,0,0.06,4,0.0445,50,8,5
25,P025,practice,0,2,0.00607,2.5705,1527.59,1114.15,0.000,0.000,4.5272,8.2069,17.2513,Left,0,0,0,450.000,0,0.000,127.500,72.154,3.500,0.0000,0.00,450;300;200;100;50,100,-10,5,250,40,5,250,50,1,6,11,0,0.06,4,0.0445,50,8,5
25,P025,practice,0,3,0.00871,2.6447,1527.59,1114.15,0.000,0.000,4.5272,8.2069,17.2513,Left,0,0,0,450.000,0,0.000,127.500,72.154,3.500,0.0000,0.00,450;300;200;100;50,100,-10,5,250,40,5,250,50,1,6,11,0,0.06,4,0.0445,50,8,5
25,P025,practice,0,4,0.01163,2.9191,1527.59,1114.15,0.000,0.000,4.5272,8.2069,17.2513,Left,0,0,0,450.000,0,0.000,127.500,72.154,3.500,0.0000,0.00,450;300;200;100;50,100,-10,5,250,40,5,250,50,1,6,11,0,0.06,4,0.0445,50,8,5
25,P025,practice,0,5,0.01457,2.9342,1527.59,1114.15,0.000,0.000,4.5272,8.2069,17.2513,Left,0,0,0,450.000,0,0.000,127.500,72.154,3.500,0.0000,0.00,450;300;200;100;50,100,-10,5,250,40,5,250,50,1,6,11,0,0.06,4,0.0445,50,8,5
25,P025,practice,0,6,0.01714,2.5682,1527.59,1114.15,0.000,0.000,4.5272,8.2069,17.2513,Left,0,0,0,450.000,0,0.000,127.500,72.154,3.500,0.0000,0.00,450;300;200;100;50,100,-10,5,250,40,5,250,50,1,6,11,0,0.06,4,0.0445,50,8,5
25,P025,practice,0,7,0.01968,2.5470,1527.59,1114.15,0.000,0.000,4.5272,8.2069,17.2513,Left,0,0,0,450.000,0,0.000,127.500,72.154,3.500,0.0000,0.00,450;300;200;100;50,100,-10,5,250,40,5,250,50,1,6,11,0,0.06,4,0.0445,50,8,5
25,P025,practice,0,8,0.02224,2.5616,1527.59,1114.15,0.000,0.000,4.5272,8.2069,17.2513,Left,0,0,0,450.000,0,0.000,127.500,72.154,3.500,0.0000,0.00,450;300;200;100;50,100,-10,5,250,40,5,250,50,1,6,11,0,0.06,4,0.0445,50,8,5
25,P025,practice,0,9,0.02492,2.6750,1527.59,1114.15,0.000,0.000,4.5272,8.2069,17.2513,Left,0,0,0,450.000,0,0.000,127.500,72.154,3.500,0.0000,0.00,450;300;200;100;50,100,-10,5,250,40,5,250,50,1,6,11,0,0.06,4,0.0445,50,8,5
25,P025,practice,0,10,0.02743,2.5087,1527.59,1114.15,0.000,0.000,4.5272,8.2069,17.2513,Left,0,0,0,450.000,0,0.000,127.500,72.154,3.500,0.0000,0.00,450;300;200;100;50,100,-10,5,250,40,5,250,50,1,6,11,0,0.06,4,0.0445,50,8,5
25,P025,practice,0,11,0.02976,2.3357,1527.59,1114.15,0.000,0.000,4.5272,8.2069,17.2513,Left,0,0,0,450.000,0,0.000,127.500,72.154,3.500,0.0000,0.00,450;300;200;100;50,100,-10,5,250,40,5,250,50,1,6,11,0,0.06,4,0.0445,50,8,5
25,P025,practice,0,12,0.03213,2.3709,1527.59,1114.15,0.000,0.000,4.5272,8.2069,17.2513,Left,0,0,0,450.000,0,0.000,127.500,72.154,3.500,0.0000,0.00,450;300;200;100;50,100,-10,5,250,40,5,250,50,1,6,11,0,0.06,4,0.0445,50,8,5
25,P025,practice,0,13,0.03801,5.8774,1527.59,1114.15,0.000,0.000,4.5272,8.2069,17.2513,Left,0,0,0,450.000,0,0.000,127.500,72.154,3.500,0.0000,0.00,450;300;200;100;50,100,-10,5,250,40,5,250,50,1,6,11,0,0.06,4,0.0445,50,8,5
25,P025,practice,0,14,0.04101,2.9992,1527.59,1114.15,0.000,0.000,4.5272,8.2069,17.2513,Left,0,0,0,450.000,0,0.000,127.500,72.154,3.500,0.0000,0.00,450;300;200;100;50,100,-10,5,250,40,5,250,50,1,6,11,0,0.06,4,0.0445,50,8,5
25,P025,practice,0,15,0.04335,2.3349,1527.59,1114.15,0.000,0.000,4.5272,8.2069,17.2513,Left,0,0,0,450.000,0,0.000,127.500,72.154,3.500,0.0000,0.00,450;300;200;100;50,100,-10,5,250,40,5,250,50,1,6,11,0,0.06,4,0.0445,50,8,5
