sessionId,blockIndex,unityApplicationFps,testMode,closeRadius,weapon,phase,phaseStartIso,roundNumber,timeSinceStartSec,timeSinceLastShotSec,stimulusMs,spikesSinceLastShot,stuttersMs,stutterMeanMs,stutterSdMs,stutterMinMs,stutterMaxMs,isHit,totalScore,outcome,playerFired,countedByStaircase,trialStartSec,spikeAtSec,firedAtSec,reactionSec,spikeDelaySec,windowSec,hitX,missDistX,towerX,ufoY,side,threshEstimateMs,sd,slopeEstimate,lapseEstimate,cfg_weapon,cfg_unityApplicationFps,cfg_practiceStuttersMs,cfg_amSpikeDelayMinSec,cfg_amSpikeDelayMaxSec,cfg_amWindowMinSec,cfg_amWindowMaxSec,cfg_hitPoints,cfg_missPoints,cfg_stimMinMs,cfg_stimMaxMs,cfg_stimCount,cfg_threshMinMs,cfg_threshMaxMs,cfg_threshCount,cfg_slopeMin,cfg_slopeMax,cfg_slopeCount,cfg_lapseMin,cfg_lapseMax,cfg_lapseCount,cfg_guessRate,cfg_maxTrials,cfg_minTrials,cfg_stopSD
35,1,60,FrameTimeStutter,6.000,antimatter,practice,2026-08-31T12:06:02.6229449-04:00,1,0.8672,0.8672,450.000,0,,0.000,0.000,0.000,0.000,0,-10.00,early,1,0,0.0170,,0.8724,,7.3238,3.1611,2.8378,5.7222,-2.8843,8.9299,Right,127.500,71.914,4.500,0.0300,antimatter,60,450;300;200;100;50,2,8,2.5,3.5,100,-10,5,250,40,5,250,60,1,8,11,0,0.06,4,0.5,50,8,5
35,1,60,FrameTimeStutter,6.000,antimatter,practice,2026-08-31T12:06:02.6229449-04:00,2,5.2564,4.3892,300.000,0,,0.000,0.000,0.000,0.000,0,-20.00,early,1,0,4.5729,,5.2569,,6.5946,2.9857,5.4587,12.6220,-7.1633,9.2407,Right,127.500,71.914,4.500,0.0300,antimatter,60,450;300;200;100;50,2,8,2.5,3.5,100,-10,5,250,40,5,250,60,1,8,11,0,0.06,4,0.5,50,8,5
35,1,60,FrameTimeStutter,6.000,antimatter,practice,2026-08-31T12:06:02.6229449-04:00,3,16.2489,10.9924,200.000,1,200.01,200.012,0.000,200.012,200.012,1,80.00,detected,1,0,8.9395,15.4960,16.2493,0.7534,6.3394,2.7776,-2.8332,1.7546,-4.5879,5.9120,Right,127.500,71.914,4.500,0.0300,antimatter,60,450;300;200;100;50,2,8,2.5,3.5,100,-10,5,250,40,5,250,60,1,8,11,0,0.06,4,0.5,50,8,5
