sessionId,participantId,roundIndexInSession,studyLabel,testMode,shotIndexInRound,shotIndexInSession,timeSinceRoundStartSec,timeSinceLastShotSec,isHit,shotScore,totalScore,missDistX,absMissDistX,missDistEuclid,towerX,towerY,towerZ,hitX,hitY,hitZ,ufoX,ufoY,ufoZ,side,stimulusMs,jndEstimateMs,posteriorThresholdSD,slopeEstimate,staircaseTrial,staircaseFinished,spikesSinceLastShot,cfg_label,cfg_testMode,cfg_useStaircase,cfg_useManualLevelList,cfg_roundsPerSession,cfg_roundDurationSec,cfg_closeRadius,cfg_showHitZone,cfg_crossingDeadZone,cfg_fireCooldown,cfg_revealHoldSec,cfg_maxPoints,cfg_missPoints,cfg_ftFallbackMagnitudeMs,cfg_ftUseBusyWait,cfg_stimMinMs,cfg_stimMaxMs,cfg_stimCount,cfg_threshMinMs,cfg_threshMaxMs,cfg_threshCount,cfg_slopeMin,cfg_slopeMax,cfg_slopeCount,cfg_lapseMin,cfg_lapseMax,cfg_lapseCount,cfg_guessRate,cfg_maxTrials,cfg_minTrials,cfg_stopSD,cfg_startDropFps,cfg_minDropFps,cfg_maxDropFps,cfg_baselineFps,cfg_startMs,cfg_minMs,cfg_maxMs,cfg_startMult,cfg_minMult,cfg_maxMult,cfg_coarseFactor,cfg_fineStep,cfg_reversals,cfg_revAvg,cfg_manualStartIndex,cfg_manualLevels
11,P011,1,ft_jnd,FrameTimeStutter,1,1,4.5844,4.5844,1,100.00,100.00,0.0900,0.0900,0.0900,-13.6088,-6.7500,0.0000,-13.5188,-5.4912,0.0000,-13.5188,10.3061,0.0000,Left,42.692,76.920,58.944,3.327,1,0,5,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
11,P011,1,ft_jnd,FrameTimeStutter,2,2,7.3947,2.8103,0,-10.00,90.00,-3.0567,3.0567,3.0567,4.9723,-6.7500,0.0000,1.9155,-4.6490,0.0000,1.9155,11.1483,0.0000,Left,92.949,106.469,55.881,3.335,2,0,2,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
11,P011,1,ft_jnd,FrameTimeStutter,3,3,9.8714,2.4767,0,-10.00,80.00,-13.3768,13.3768,13.3768,1.5155,-6.7500,0.0000,-11.8613,-4.2958,0.0000,-11.8613,11.5014,0.0000,Left,130.641,146.709,52.893,3.098,3,0,0,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
11,P011,1,ft_jnd,FrameTimeStutter,4,4,14.4075,4.5361,1,100.00,180.00,0.2740,0.2740,0.2740,-8.6028,-6.7500,0.0000,-8.3288,-4.0517,0.0000,-8.3288,11.7456,0.0000,Right,124.359,124.968,46.875,3.120,4,0,3,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
