sessionId,participantId,roundIndexInSession,studyLabel,testMode,frameIndex,timeSinceRoundStartSec,unscaledDeltaMs,mouseX,mouseY,mouseDeltaX,mouseDeltaY,virtualX,virtualY,ufoX,ufoY,ufoZ,towerX,towerZ,signedDistToTowerX,side,leftButtonDown,leftButtonPressed,rightButtonDown,fireKeyDown,stimulusMs,spikeFired,stallMs,cfg_label,cfg_testMode,cfg_useStaircase,cfg_useManualLevelList,cfg_roundsPerSession,cfg_roundDurationSec,cfg_closeRadius,cfg_showHitZone,cfg_crossingDeadZone,cfg_fireCooldown,cfg_revealHoldSec,cfg_maxPoints,cfg_missPoints,cfg_ftFallbackMagnitudeMs,cfg_ftUseBusyWait,cfg_stimMinMs,cfg_stimMaxMs,cfg_stimCount,cfg_threshMinMs,cfg_threshMaxMs,cfg_threshCount,cfg_slopeMin,cfg_slopeMax,cfg_slopeCount,cfg_lapseMin,cfg_lapseMax,cfg_lapseCount,cfg_guessRate,cfg_maxTrials,cfg_minTrials,cfg_stopSD,cfg_startDropFps,cfg_minDropFps,cfg_maxDropFps,cfg_baselineFps,cfg_startMs,cfg_minMs,cfg_maxMs,cfg_startMult,cfg_minMult,cfg_maxMult,cfg_coarseFactor,cfg_fineStep,cfg_reversals,cfg_revAvg,cfg_manualStartIndex,cfg_manualLevels
19,P019,1,ft_jnd,FrameTimeStutter,10,0.04002,4.0551,2001.48,1051.97,0.000,0.000,2001.48,1051.97,-10.1129,7.0700,0.0000,-12.5967,0.0000,2.4838,Right,0,0,0,0,86.667,0,0.000,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
19,P019,1,ft_jnd,FrameTimeStutter,11,0.04431,4.2876,2001.48,1051.97,0.000,0.000,2001.48,1051.97,-10.1129,7.0700,0.0000,-12.5967,0.0000,2.4838,Right,0,0,0,0,86.667,0,0.000,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
19,P019,1,ft_jnd,FrameTimeStutter,12,0.04877,4.4567,2001.48,1051.97,0.000,0.000,2001.48,1051.97,-10.1129,7.0700,0.0000,-12.5967,0.0000,2.4838,Right,0,0,0,0,86.667,0,0.000,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
19,P019,1,ft_jnd,FrameTimeStutter,13,0.05313,4.3616,2001.48,1051.97,0.000,0.000,2001.48,1051.97,-10.1129,7.0700,0.0000,-12.5967,0.0000,2.4838,Right,0,0,0,0,86.667,0,0.000,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
19,P019,1,ft_jnd,FrameTimeStutter,14,0.05754,4.4077,2001.48,1051.97,0.000,0.000,2001.48,1051.97,-10.1129,7.0700,0.0000,-12.5967,0.0000,2.4838,Right,0,0,0,0,86.667,0,0.000,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
19,P019,1,ft_jnd,FrameTimeStutter,15,0.06054,3.0020,2001.48,1051.97,0.000,0.000,2001.48,1051.97,-10.1129,7.0700,0.0000,-12.5967,0.0000,2.4838,Right,0,0,0,0,86.667,0,0.000,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
19,P019,1,ft_jnd,FrameTimeStutter,16,0.06538,4.8471,2001.48,1051.97,0.000,0.000,2001.48,1051.97,-10.1129,7.0700,0.0000,-12.5967,0.0000,2.4838,Right,0,0,0,0,86.667,0,0.000,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
19,P019,1,ft_jnd,FrameTimeStutter,17,0.06979,4.4094,2001.48,1051.97,0.000,0.000,2001.48,1051.97,-10.1129,7.0700,0.0000,-12.5967,0.0000,2.4838,Right,0,0,0,0,86.667,0,0.000,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
19,P019,1,ft_jnd,FrameTimeStutter,18,0.07379,3.9971,2001.48,1051.97,0.000,0.000,2001.48,1051.97,-10.1129,7.0700,0.0000,-12.5967,0.0000,2.4838,Right,0,0,0,0,86.667,0,0.000,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
19,P019,1,ft_jnd,FrameTimeStutter,19,0.07832,4.5298,2001.48,1051.97,0.000,0.000,2001.48,1051.97,-10.1129,7.0700,0.0000,-12.5967,0.0000,2.4838,Right,0,0,0,0,86.667,0,0.000,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
