sessionId,participantId,roundIndexInSession,studyLabel,testMode,shotIndexInRound,shotIndexInSession,timeSinceRoundStartSec,timeSinceLastShotSec,isHit,shotScore,totalScore,missDistX,absMissDistX,missDistEuclid,towerX,towerY,towerZ,hitX,hitY,hitZ,ufoX,ufoY,ufoZ,side,stimulusMs,jndEstimateMs,posteriorThresholdSD,slopeEstimate,staircaseTrial,staircaseFinished,spikesSinceLastShot,cfg_label,cfg_testMode,cfg_useStaircase,cfg_useManualLevelList,cfg_roundsPerSession,cfg_roundDurationSec,cfg_closeRadius,cfg_showHitZone,cfg_crossingDeadZone,cfg_fireCooldown,cfg_revealHoldSec,cfg_maxPoints,cfg_missPoints,cfg_ftFallbackMagnitudeMs,cfg_ftUseBusyWait,cfg_stimMinMs,cfg_stimMaxMs,cfg_stimCount,cfg_threshMinMs,cfg_threshMaxMs,cfg_threshCount,cfg_slopeMin,cfg_slopeMax,cfg_slopeCount,cfg_lapseMin,cfg_lapseMax,cfg_lapseCount,cfg_guessRate,cfg_maxTrials,cfg_minTrials,cfg_stopSD,cfg_startDropFps,cfg_minDropFps,cfg_maxDropFps,cfg_baselineFps,cfg_startMs,cfg_minMs,cfg_maxMs,cfg_startMult,cfg_minMult,cfg_maxMult,cfg_coarseFactor,cfg_fineStep,cfg_reversals,cfg_revAvg,cfg_manualStartIndex,cfg_manualLevels
14,P014,1,ft_jnd,FrameTimeStutter,1,1,2.8128,2.8128,0,-10.00,-10.00,1.1513,1.1513,1.1513,2.5446,-6.7500,0.0000,3.6959,-7.3244,0.0000,3.6959,8.4728,0.0000,Right,143.205,170.063,51.954,3.646,1,0,5,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
14,P014,1,ft_jnd,FrameTimeStutter,2,2,7.5221,4.7093,0,-10.00,-20.00,-1.0586,1.0586,1.0586,13.2796,-6.7500,0.0000,12.2210,-5.8677,0.0000,12.2210,9.9295,0.0000,Left,174.615,196.070,38.551,3.808,2,0,5,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
14,P014,1,ft_jnd,FrameTimeStutter,3,3,13.3242,5.8021,1,100.00,80.00,-0.3060,0.3060,0.3060,-3.4712,-6.7500,0.0000,-3.7772,-4.3573,0.0000,-3.7772,11.4399,0.0000,Left,174.615,181.308,40.108,3.646,3,0,4,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
14,P014,1,ft_jnd,FrameTimeStutter,4,4,18.8209,5.4967,1,100.00,180.00,-0.6766,0.6766,0.6766,5.1007,-6.7500,0.0000,4.4241,-3.9798,0.0000,4.4241,11.8175,0.0000,Left,168.333,168.336,39.254,3.613,4,0,4,ft_jnd,FrameTimeStutter,1,0,1,0,1,1,0.25,0.25,1.5,100,-10,100,1,5,250,40,5,250,50,1,6,11,0,0.06,4,0.05,50,8,4,2,2,100,144,5,5,300,1.05,1.05,6.0,2.0,10,6,6,-1,
