sessionId,blockIndex,unityApplicationFps,testMode,closeRadius,weapon,phase,phaseStartIso,roundNumber,attemptInRound,roundEnded,timeSinceStartSec,timeSinceLastShotSec,stimulusMs,spikesSinceLastShot,spikeIndexInRound,stuttersMs,stutterMeanMs,stutterSdMs,stutterMinMs,stutterMaxMs,isHit,totalScore,outcome,playerFired,countedByStaircase,trialStartSec,spikeAtSec,firedAtSec,reactionSec,spikeDelaySec,windowSec,hitX,missDistX,towerX,ufoY,side,threshEstimateMs,sd,slopeEstimate,lapseEstimate,cfg_weapon,cfg_unityApplicationFps,cfg_practiceStuttersMs,cfg_swSpikeDelayMinSec,cfg_swSpikeDelayMaxSec,cfg_swWindowSec,cfg_swRespikeMinSec,cfg_swRespikeMaxSec,cfg_swMaxEarlyPerRound,cfg_maxSpikesPerRound,cfg_roundTimeoutSec,cfg_hitPoints,cfg_missPoints,cfg_stimMinMs,cfg_stimMaxMs,cfg_stimCount,cfg_threshMinMs,cfg_threshMaxMs,cfg_threshCount,cfg_slopeMin,cfg_slopeMax,cfg_slopeCount,cfg_lapseMin,cfg_lapseMax,cfg_lapseCount,cfg_guessRate,cfg_maxTrials,cfg_minTrials,cfg_stopSD
53,1,60,FrameTimeStutter,5.000,shockwave,practice,2026-09-16T14:07:32.9179954-04:00,1,1,1,2.5042,2.5042,450.000,1,1,450.02,450.018,0.047,450.018,450.018,1,100.00,detected,1,0,0.0157,2.2839,2.5094,0.2256,1.8089,0.5000,-7.4019,6.2521,-13.6540,8.1984,Right,127.500,71.914,4.500,0.0300,shockwave,60,450;300;200;100;50,1.5,3,0.5,1,2,1,10,0,100,-10,5,250,40,5,250,60,1,8,11,0,0.06,4,0.556,50,8,5
53,1,60,FrameTimeStutter,5.000,shockwave,practice,2026-09-16T14:07:32.9179954-04:00,2,1,0,8.1450,5.6408,300.000,1,1,300.00,300.000,0.000,300.000,300.000,0,90.00,late,1,0,5.2247,7.3754,8.1455,0.7701,1.8501,0.5000,-2.8539,14.7195,-17.5734,8.1025,Right,127.500,71.914,4.500,0.0300,shockwave,60,450;300;200;100;50,1.5,3,0.5,1,2,1,10,0,100,-10,5,250,40,5,250,60,1,8,11,0,0.06,4,0.556,50,8,5
53,1,60,FrameTimeStutter,5.000,shockwave,practice,2026-09-16T14:07:32.9179954-04:00,2,2,0,12.4150,4.2700,300.000,1,2,300.00,300.000,0.000,300.000,300.000,0,80.00,late,1,0,5.2247,11.5953,12.4155,0.8202,2.0868,0.5000,8.2849,25.8583,-17.5734,8.4698,Right,127.500,71.914,4.500,0.0300,shockwave,60,450;300;200;100;50,1.5,3,0.5,1,2,1,10,0,100,-10,5,250,40,5,250,60,1,8,11,0,0.06,4,0.556,50,8,5
53,1,60,FrameTimeStutter,5.000,shockwave,practice,2026-09-16T14:07:32.9179954-04:00,2,3,1,16.2723,3.8574,300.000,1,3,300.00,300.000,0.000,300.000,300.000,1,180.00,detected,1,0,5.2247,15.8691,16.2728,0.4038,2.1060,0.5000,5.6206,23.1939,-17.5734,8.0490,Right,127.500,71.914,4.500,0.0300,shockwave,60,450;300;200;100;50,1.5,3,0.5,1,2,1,10,0,100,-10,5,250,40,5,250,60,1,8,11,0,0.06,4,0.556,50,8,5
53,1,60,FrameTimeStutter,5.000,shockwave,practice,2026-09-16T14:07:32.9179954-04:00,3,1,1,22.2280,5.9557,200.000,1,1,200.00,200.000,0.016,200.000,200.000,1,280.00,detected,1,0,18.9588,21.9926,22.2285,0.2360,2.8243,0.5000,3.6283,18.0093,-14.3810,8.6300,Right,127.500,71.914,4.500,0.0300,shockwave,60,450;300;200;100;50,1.5,3,0.5,1,2,1,10,0,100,-10,5,250,40,5,250,60,1,8,11,0,0.06,4,0.556,50,8,5
53,1,60,FrameTimeStutter,5.000,shockwave,practice,2026-09-16T14:07:32.9179954-04:00,4,1,1,27.1723,4.9442,100.000,1,1,100.00,100.000,0.000,100.000,100.000,1,380.00,detected,1,0,24.9455,26.8855,27.1728,0.2872,1.8350,0.5000,-5.4675,5.9709,-11.4385,7.8578,Right,127.500,71.914,4.500,0.0300,shockwave,60,450;300;200;100;50,1.5,3,0.5,1,2,1,10,0,100,-10,5,250,40,5,250,60,1,8,11,0,0.06,4,0.556,50,8,5
53,1,60,FrameTimeStutter,5.000,shockwave,practice,2026-09-16T14:07:32.9179954-04:00,5,1,1,32.5574,5.3851,50.000,1,1,50.00,50.000,0.000,50.000,50.000,1,480.00,detected,1,0,29.9038,32.2385,32.5579,0.3194,2.2700,0.5000,-10.5617,-22.0220,11.4603,7.7165,Left,127.500,71.914,4.500,0.0300,shockwave,60,450;300;200;100;50,1.5,3,0.5,1,2,1,10,0,100,-10,5,250,40,5,250,60,1,8,11,0,0.06,4,0.556,50,8,5
53,1,60,FrameTimeStutter,5.000,shockwave,main,2026-09-16T14:08:08.7431011-04:00,1,1,1,4.5345,4.5345,111.795,2,2,111.80;111.79,111.795,0.000,111.795,111.795,1,100.00,detected,1,1,0.0163,4.2149,4.5349,0.3200,1.8333,0.5000,-3.1556,-10.1535,6.9979,7.1920,Left,113.580,70.874,4.443,0.0297,shockwave,60,450;300;200;100;50,1.5,3,0.5,1,2,1,10,0,100,-10,5,250,40,5,250,60,1,8,11,0,0.06,4,0.556,50,8,5
53,1,60,FrameTimeStutter,5.000,shockwave,main,2026-09-16T14:08:08.7431011-04:00,2,1,1,9.7861,5.2516,99.231,1,1,99.23,99.231,0.000,99.231,99.231,1,200.00,detected,1,1,7.2513,9.4173,9.7865,0.3693,2.0584,0.5000,4.3381,17.1498,-12.8117,8.4166,Right,100.018,68.379,4.411,0.0293,shockwave,60,450;300;200;100;50,1.5,3,0.5,1,2,1,10,0,100,-10,5,250,40,5,250,60,1,8,11,0,0.06,4,0.556,50,8,5
53,1,60,FrameTimeStutter,5.000,shockwave,main,2026-09-16T14:08:08.7431011-04:00,3,1,0,15.0432,5.2571,86.667,1,1,86.67,86.667,0.000,86.667,86.667,0,190.00,late,1,1,12.5194,14.4065,15.0436,0.6371,1.7893,0.5000,3.8169,-14.1827,17.9996,9.9156,Left,150.641,58.356,4.455,0.0310,shockwave,60,450;300;200;100;50,1.5,3,0.5,1,2,1,10,0,100,-10,5,250,40,5,250,60,1,8,11,0,0.06,4,0.556,50,8,5
53,1,60,FrameTimeStutter,5.000,shockwave,main,2026-09-16T14:08:08.7431011-04:00,3,2,1,19.0119,3.9688,143.205,1,2,143.21,143.205,0.000,143.205,143.205,1,290.00,detected,1,1,12.5194,18.7081,19.0124,0.3044,2.4822,0.5000,3.5976,-14.4021,17.9996,9.2404,Left,141.350,57.644,4.420,0.0309,shockwave,60,450;300;200;100;50,1.5,3,0.5,1,2,1,10,0,100,-10,5,250,40,5,250,60,1,8,11,0,0.06,4,0.556,50,8,5
53,1,60,FrameTimeStutter,5.000,shockwave,main,2026-09-16T14:08:08.7431011-04:00,4,1,1,24.8514,5.8394,136.923,1,1,136.92,136.923,0.000,136.923,136.923,1,390.00,detected,1,1,21.7116,24.5989,24.8518,0.2530,2.7367,0.5000,0.0341,-13.2729,13.3070,6.7595,Left,132.453,56.179,4.409,0.0307,shockwave,60,450;300;200;100;50,1.5,3,0.5,1,2,1,10,0,100,-10,5,250,40,5,250,60,1,8,11,0,0.06,4,0.556,50,8,5
53,1,60,FrameTimeStutter,5.000,shockwave,main,2026-09-16T14:08:08.7431011-04:00,5,1,0,27.5842,2.7329,136.923,0,0,,0.000,0.000,0.000,0.000,0,380.00,early,1,0,27.5844,,27.5849,,,0.5000,2.9753,11.1113,-8.1359,6.6952,Right,132.453,56.179,4.409,0.0307,shockwave,60,450;300;200;100;50,1.5,3,0.5,1,2,1,10,0,100,-10,5,250,40,5,250,60,1,8,11,0,0.06,4,0.556,50,8,5
53,1,60,FrameTimeStutter,5.000,shockwave,main,2026-09-16T14:08:08.7431011-04:00,5,2,1,27.8682,0.2840,136.923,0,0,,0.000,0.000,0.000,0.000,0,370.00,early,1,1,27.5844,,27.8687,,,0.5000,2.9753,11.1113,-8.1359,6.6952,Right,172.193,49.794,4.333,0.0317,shockwave,60,450;300;200;100;50,1.5,3,0.5,1,2,1,10,0,100,-10,5,250,40,5,250,60,1,8,11,0,0.06,4,0.556,50,8,5
53,1,60,FrameTimeStutter,5.000,shockwave,main,2026-09-16T14:08:08.7431011-04:00,6,1,0,30.6180,2.7497,168.333,0,0,,0.000,0.000,0.000,0.000,0,360.00,early,1,0,30.6016,,30.6184,,,0.5000,4.4719,12.6407,-8.1688,6.6952,Right,172.193,49.794,4.333,0.0317,shockwave,60,450;300;200;100;50,1.5,3,0.5,1,2,1,10,0,100,-10,5,250,40,5,250,60,1,8,11,0,0.06,4,0.556,50,8,5
53,1,60,FrameTimeStutter,5.000,shockwave,main,2026-09-16T14:08:08.7431011-04:00,6,2,1,30.9342,0.3162,168.333,0,0,,0.000,0.000,0.000,0.000,0,350.00,early,1,1,30.6016,,30.9346,,,0.5000,4.4719,12.6407,-8.1688,6.7135,Right,198.208,39.232,4.519,0.0318,shockwave,60,450;300;200;100;50,1.5,3,0.5,1,2,1,10,0,100,-10,5,250,40,5,250,60,1,8,11,0,0.06,4,0.556,50,8,5
53,1,60,FrameTimeStutter,5.000,shockwave,main,2026-09-16T14:08:08.7431011-04:00,7,1,0,33.7232,2.7890,193.462,0,0,,0.000,0.000,0.000,0.000,0,340.00,early,1,0,33.6740,,33.7236,,,0.5000,0.3393,-12.7360,13.0753,6.7135,Left,198.208,39.232,4.519,0.0318,shockwave,60,450;300;200;100;50,1.5,3,0.5,1,2,1,10,0,100,-10,5,250,40,5,250,60,1,8,11,0,0.06,4,0.556,50,8,5
53,1,60,FrameTimeStutter,5.000,shockwave,main,2026-09-16T14:08:08.7431011-04:00,7,2,1,34.0228,0.2996,193.462,0,0,,0.000,0.000,0.000,0.000,0,330.00,early,1,1,33.6740,,34.0233,,,0.5000,0.3393,-12.7360,13.0753,6.7135,Left,214.216,30.331,4.770,0.0321,shockwave,60,450;300;200;100;50,1.5,3,0.5,1,2,1,10,0,100,-10,5,250,40,5,250,60,1,8,11,0,0.06,4,0.556,50,8,5
